n time
9800002 2.25967
9900002 2.34296
10000002 2.13324
11000002 2.22073
12000002 2.17955
13000002 2.12642
14000002 2.15345
15000002 2.11252
16000002 2.15215
17000002 2.1587
18000002 2.14455
19000002 2.14394
20000002 2.11824
21000002 2.11033
22000002 2.1203
23000002 2.10663
24000002 2.11542
25000002 2.12772
26000002 2.12215
27000002 1.82094
28000002 2.04783
29000002 2.12837
30000002 2.12853
31000002 2.1149
32000002 2.15147
33000002 2.11046
34000002 2.17361
35000002 2.09834
36000002 2.10854
37000002 2.07282
38000002 2.1404
39000002 2.10281
40000002 2.10505
41000002 2.10034
42000002 2.11262
43000002 2.13752
44000002 2.10676
45000002 2.08539
46000002 2.10942
47000002 2.0982
48000002 2.09461
49000002 2.07591
50000002 2.10034
51000002 2.09391
52000002 2.06855
53000002 2.07852
54000002 2.0775
55000002 2.08502
56000002 2.1019
57000002 2.07288
58000002 2.07463
59000002 2.05527
60000002 2.07311
61000002 2.06558
62000002 2.05843
63000002 2.06103
64000002 2.07102
65000002 2.0731
66000002 2.08572
67000002 2.06151
68000002 2.07303
69000002 2.05758
70000002 2.07254
71000002 2.08011
72000002 2.06781
73000002 2.06524
74000002 2.05706
75000002 2.04244
76000002 2.05853
77000002 2.06661
78000002 2.06279
79000002 2.06611
80000002 2.06898
81000002 2.0511
82000002 2.05154
83000002 2.06328
84000002 2.0512
85000002 2.04797
86000002 2.03823
87000002 1.89759
88000002 2.05073
89000002 2.02276
90000002 2.07186
91000002 1.92846
92000002 2.05803
93000002 2.04269
94000002 2.05973
95000002 2.04017
96000002 2.03197
97000002 2.04526
98000002 2.06633
99000002 2.0479
100000002 2.04998
